Rimworld-suomi-Rimworld

addiction               riippuvuus
animals tab             eläimet-välilehti
architect tab           arkkitehti-välilehti
assign tab              määräykset-välilehti
broken                  murtunut
colony                  yhdyskunta
construction            rakennelma
cryptosleep             salauni
debug                   kehitystila
faction                 ryhmä -> ryhmittymä?
factions tab            ryhmät-välilehti
firefighting            palontorjunta
flick                   naksauttaa? naksauttaja? kääntäjä? käyttäjä?
glitterworld            välkemaailma
goodwill                hyväntahtoisuus
health                  terveys
history tab             historia-välilehti
info card               tietokortti?
inspect pane            tarkastelupaneeli
item                    esine
joy tolerance           kyllästyminen ilonpitoihin
joywire                 iloimplantti
landing site            laskeutumisalue
medical operations      lääkintäoperaatiot
melee attacking         lähitaistelee olennon ->
menu tab                valikko-välilehti
midworld                keskimaailma
orbital trade beacon    kiertoratavaihtokaupan majakka
personal shield         henkilökohtainen suojakilpi
quadrum                 neljännes
research tab            tutkimus-välilehti
resources               resurssit
restrict tab            rajoitukset-välilehti
rimworld                syrjäplanetta
settlement              asuinpaikka
urbworld                urbimaailma
work tab                työnteko-välilehti
world tab               maailma-välilehti
